								
	ID	Lv1	Lv2	Lv3	Lv4	Lv5	PGPT_ID	chromo_utfo
	PGPT0000050	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS	PGPT0000050-nifM-K03769	5.0
	PGPT0000065	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS# PGPT	PGPT0000065-nifS|iscS-K04487	1.0
	PGPT0000075	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS	PGPT0000075-nifU|iscU-K04488	1.0
	PGPT0000080	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS	PGPT0000080-nifV-K02594	1.0
	PGPT0000135	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-OTHER_NITROGEN_FIXATION_REGULATORS	PGPT0000135-ptsN-K02806	2.0
	PGPT0000140	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-OTHER_NITROGEN_FIXATION_REGULATORS# PGPT	PGPT0000140-fixL-K14986	2.0
	PGPT0000145	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-OTHER_NITROGEN_FIXATION_REGULATORS# PGPT	PGPT0000145-fixJ-K14987	1.0
	PGPT0000152	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	CBB3-TYPE_CYTOCHROME_C_OXIDASE# PGPT	PGPT0000152-fixO|ccoO-K00405	1.0
	PGPT0000153	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	CBB3-TYPE_CYTOCHROME_C_OXIDASE# PGPT	PGPT0000153-fixP|ccoP-K00406	2.0
	PGPT0000154	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	CBB3-TYPE_CYTOCHROME_C_OXIDASE# PGPT	PGPT0000154-fixQ|ccoQ-K00407	1.0
	PGPT0000155	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-HYDROGENASE_BIOSYNTHESIS	PGPT0000155-hyfA-K12136	2.0
	PGPT0000160	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-HYDROGENASE_BIOSYNTHESIS	PGPT0000160-hyfB-K12137	1.0
	PGPT0000165	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-HYDROGENASE_BIOSYNTHESIS	PGPT0000165-hyfC-K12138	1.0
	PGPT0000170	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-HYDROGENASE_BIOSYNTHESIS	PGPT0000170-hyfD-K12139	1.0
	PGPT0000175	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-HYDROGENASE_BIOSYNTHESIS	PGPT0000175-hyfE-K12140	1.0
	PGPT0000180	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-HYDROGENASE_BIOSYNTHESIS	PGPT0000180-hyfF-K12141	1.0
	PGPT0000185	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-HYDROGENASE_BIOSYNTHESIS	PGPT0000185-hyfG-K12142	1.0
	PGPT0000190	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-HYDROGENASE_BIOSYNTHESIS	PGPT0000190-hyfH-K12143	1.0
