	DSM26508	SAM215	CV1	BASUSDA_45	CV8	A56AF	Cv1_a	UFO_VIO
Tryptophan biosynthesis	1.0	1.0	1.0	1.0	1.0	1.0	0.6666666666666666	1.0
Violacein biosynthesis	1.0	1.0	1.0	1.0	1.0	1.0	0.75	1.0
Pyocyanine biosynthesis	0.1428571428571428	0.1428571428571428	0.1428571428571428	0.1428571428571428	0.1428571428571428	0.1428571428571428	0.1428571428571428	0.1428571428571428
Grixazone B biosynthesis	0.3333333333333333	0.0	0.0	0.3333333333333333	0.0	0.3333333333333333	0.3333333333333333	0.3333333333333333
Acarbose biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5
Monolignol biosynthesis	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
Mugineic acid biosynthesis	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2
Betacyanin biosynthesis	0.25	0.25	0.25	0.25	0.25	0.25	0.0	0.25
Glutathione biosynthesis	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
GABA shunt	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.3333333333333333	0.6666666666666666
CMP-KDO biosynthesis (LPS)	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ADP-heptose biosynthesis (LPS)	1.0	1.0	1.0	1.0	1.0	1.0	0.8	1.0
Efflux MexJK-OprM	1.0	1.0	1.0	1.0	1.0	1.0	0.5	1.0
Efflux MexXY-OprM	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Efflux MexAB-OprM	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Efflux BpeEF-OprC	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Efflux QacA	0.5	0.0	0.0	0.0	0.0	0.5	0.5	0.0
