																						
	Gene	Non-unique Gene name	Annotation	No. isolates	No. sequences	Avg sequences per isolate	Genome Fragment	Order within Fragment	Accessory Fragment	Accessory Order with Fragment	QC	Min group size nuc	Max group size nuc	Avg group size nuc	A56AF	BASUSDA_45	CV1	CV8	Cv1	DSM26508	SAM215	UFO-VIO
	Type IV pilin		Type IV pilin	8	8	1	301	787				428	428	428	PAGBNG_00085	EADAOE_02651	MJAKFC_01727	PIBFPJ_00814	MDFDNN_04726	BLLDNB_02507	KCCMJC_02553	HCOCDN_02162
	group_1002	wrbA	NAD(P)H:quinone oxidoreductase	8	8	1	301	809				596	596	596	PAGBNG_00104	EADAOE_02633	MJAKFC_01709	PIBFPJ_00796	MDFDNN_03269	BLLDNB_02526	KCCMJC_02571	HCOCDN_02144
	infB		translation initiation factor IF-2	8	8	1	301	976				1742	2930	2767	PAGBNG_00165	EADAOE_03855	MJAKFC_01901	PIBFPJ_02281	MDFDNN_01526	BLLDNB_02938	KCCMJC_02059	HCOCDN_03829
	Iron-siderophore ABC transporter permease		Iron-siderophore ABC transporter permease	8	8	1	301	2168				1067	1067	1067	PAGBNG_00244	EADAOE_03826	MJAKFC_01888	PIBFPJ_02295	MDFDNN_01499	BLLDNB_02911	KCCMJC_02089	HCOCDN_03861
	beta-N-acetylhexosaminidase		beta-N-acetylhexosaminidase	8	8	1	301	2173				1511	2636	2495	PAGBNG_00249	EADAOE_03821	MJAKFC_01883	PIBFPJ_02300	MDFDNN_01494	BLLDNB_02906	KCCMJC_02094	HCOCDN_03866
	group_1009	Solute-binding protein family 3/N-terminal domain-containing protein	Solute-binding protein family 3/N-terminal domain-containing protein	8	8	1	301	4914				407	797	748	PAGBNG_00255	EADAOE_01283	MJAKFC_00697	PIBFPJ_03244	MDFDNN_01031	BLLDNB_00450	KCCMJC_00650	HCOCDN_00459
	azoR		FMN-dependent NADH:quinone oxidoreductase	8	8	1	301	5343				155	608	551	PAGBNG_00261	EADAOE_01277	MJAKFC_00691	PIBFPJ_03238	MDFDNN_04871	BLLDNB_00456	KCCMJC_00656	HCOCDN_00465
	group_1016	grxC	putative peroxiredoxin/glutaredoxin family protein	8	8	1	301	5367				617	731	716	PAGBNG_00283	EADAOE_01255	MJAKFC_00670	PIBFPJ_03217	MDFDNN_01005	BLLDNB_00477	KCCMJC_00677	HCOCDN_00486
	NAD(P)H-quinone oxidoreductase		NAD(P)H-quinone oxidoreductase	8	8	1	301	5375				995	995	995	PAGBNG_00289	EADAOE_01249	MJAKFC_00664	PIBFPJ_03211	MDFDNN_00621	BLLDNB_00483	KCCMJC_00683	HCOCDN_00492
	enoyl-acyl carrier protein reductase FabMG		enoyl-acyl carrier protein reductase FabMG	8	8	1	301	5376				1316	1316	1316	PAGBNG_00290	EADAOE_01248	MJAKFC_00663	PIBFPJ_03210	MDFDNN_00620	BLLDNB_00484	KCCMJC_00684	HCOCDN_00493
	group_1020	Lipoprotein	Lipoprotein	8	8	1	301	5323				1715	1805	1779	PAGBNG_00295	EADAOE_01025	MJAKFC_00658	PIBFPJ_03205	MDFDNN_00615	BLLDNB_00489	KCCMJC_00689	HCOCDN_00498
	Enoyl-ACP reductase		Enoyl-ACP reductase	8	8	1	301	5321				341	1031	944	PAGBNG_00296	EADAOE_01026	MJAKFC_00656	PIBFPJ_03204	MDFDNN_00613	BLLDNB_00490	KCCMJC_00690	HCOCDN_00500
	pbpC		penicillin-binding protein 1C	8	8	1	301	5292				1697	2228	2161	PAGBNG_00325	EADAOE_01055	MJAKFC_00627	PIBFPJ_03175	MDFDNN_00503	BLLDNB_00519	KCCMJC_00719	HCOCDN_00529
	group_1023	Solute-binding protein family 3/N-terminal domain-containing protein	Solute-binding protein family 3/N-terminal domain-containing protein	8	8	1	301	5291				914	914	914	PAGBNG_00326	EADAOE_01056	MJAKFC_00626	PIBFPJ_03174	MDFDNN_04750	BLLDNB_00520	KCCMJC_00720	HCOCDN_00530
	mobB		molybdopterin-guanine dinucleotide biosynthesis protein B	8	8	1	301	5271				521	521	521	PAGBNG_00343	EADAOE_01073	MJAKFC_00609	PIBFPJ_03156	MDFDNN_00527	BLLDNB_00537	KCCMJC_00737	HCOCDN_00547
	group_1025	Transmembrane protein	Transmembrane protein	8	8	1	301	5269				233	569	527	PAGBNG_00345	EADAOE_01075	MJAKFC_00607	PIBFPJ_03154	MDFDNN_00529	BLLDNB_00539	KCCMJC_00739	HCOCDN_00549
	dapF		diaminopimelate epimerase	8	8	1	301	5267				311	830	765	PAGBNG_00347	EADAOE_01077	MJAKFC_00605	PIBFPJ_03152	MDFDNN_00530	BLLDNB_00541	KCCMJC_00741	HCOCDN_00551
	kfrA		KfrA N-terminal DNA-binding domain-containing protein	8	8	1	301	5331				1034	1043	1041	PAGBNG_00354	EADAOE_01084	MJAKFC_03482	PIBFPJ_03145	MDFDNN_00625	BLLDNB_00548	KCCMJC_00758	HCOCDN_00558
	group_1030	Major facilitator superfamily (MFS) profile domain-containing protein	Major facilitator superfamily (MFS) profile domain-containing protein	8	8	1	301	5327				956	1226	1192	PAGBNG_00358	EADAOE_01088	MJAKFC_03486	PIBFPJ_03141	MDFDNN_00874	BLLDNB_00552	KCCMJC_00762	HCOCDN_00562
	prmB		50S ribosomal protein L3 N(5)-glutamine methyltransferase	8	8	1	301	4994				446	902	845	PAGBNG_00387	EADAOE_01389	MJAKFC_00703	PIBFPJ_03250	MDFDNN_00927	BLLDNB_00441	KCCMJC_00644	HCOCDN_00453
	Sulfotransferase		Sulfotransferase	8	8	1	301	4991				803	1067	1034	PAGBNG_00389	EADAOE_01391	MJAKFC_00705	PIBFPJ_03252	MDFDNN_00929	BLLDNB_00439	KCCMJC_02463	HCOCDN_00451
	ilvE		branched-chain amino acid transaminase	8	8	1	301	4982				251	923	839	PAGBNG_00397	EADAOE_01399	MJAKFC_00714	PIBFPJ_03260	MDFDNN_00938	BLLDNB_00431	KCCMJC_02471	HCOCDN_00442
	group_1037	caiA	Acyl-CoA dehydrogenase	8	8	1	301	4971				338	1160	1057	PAGBNG_00407	EADAOE_01409	MJAKFC_00724	PIBFPJ_03270	MDFDNN_00951	BLLDNB_00421	KCCMJC_02481	HCOCDN_00432
	lysM		LysM domain-containing protein	8	8	1	301	6108				2207	2474	2434	PAGBNG_00420	EADAOE_01423	MJAKFC_00737	PIBFPJ_03283	MDFDNN_00387	BLLDNB_00408	KCCMJC_01901	HCOCDN_00420
	leuC		3-isopropylmalate dehydratase large subunit	8	8	1	301	6118				761	1415	1333	PAGBNG_00429	EADAOE_01432	MJAKFC_00746	PIBFPJ_03292	MDFDNN_00377	BLLDNB_00399	KCCMJC_01910	HCOCDN_00411
	ampH		D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH	8	8	1	301	6140				1295	1295	1295	PAGBNG_00446	EADAOE_01449	MJAKFC_00587	PIBFPJ_03309	MDFDNN_00363	BLLDNB_00147	KCCMJC_01926	HCOCDN_00394
	Ester cyclase		Ester cyclase	8	8	1	301	6142				527	527	527	PAGBNG_00448	EADAOE_01451	MJAKFC_00585	PIBFPJ_03311	MDFDNN_00361	BLLDNB_00149	KCCMJC_01928	HCOCDN_00392
	group_1046	Putative 8-amino-7-oxononanoate synthase	Putative 8-amino-7-oxononanoate synthase	8	8	1	301	6150				1238	1364	1348	PAGBNG_00456	EADAOE_01459	MJAKFC_00577	PIBFPJ_03319	MDFDNN_00353	BLLDNB_00157	KCCMJC_01936	HCOCDN_00384
	group_1047	GNAT family N-acetyltransferase	GNAT family N-acetyltransferase	8	8	1	301	6156				521	521	521	PAGBNG_00462	EADAOE_01465	MJAKFC_00571	PIBFPJ_03326	MDFDNN_00321	BLLDNB_00163	KCCMJC_01942	HCOCDN_00378
	mnmC		bifunctional tRNA (5-methylaminomethyl-2-thiouridine)(34)-methyltransferase MnmD/FAD-dependent 5-carboxymethylaminomethyl-2-thiouridine(34) oxidoreductase MnmC	8	8	1	301	6162				1457	2003	1934	PAGBNG_00467	EADAOE_03982	MJAKFC_00566	PIBFPJ_03331	MDFDNN_01085	BLLDNB_00168	KCCMJC_01947	HCOCDN_00373
	yecA		YecA family protein	8	8	1	301	6177				626	626	626	PAGBNG_00484	EADAOE_03998	MJAKFC_00550	PIBFPJ_03347	MDFDNN_01100	BLLDNB_00184	KCCMJC_01963	HCOCDN_00357
	Quercetin 2,3-dioxygenase		Quercetin 2,3-dioxygenase	8	8	1	301	6186				839	839	839	PAGBNG_00496	EADAOE_03720	MJAKFC_00538	PIBFPJ_03491	MDFDNN_01113	BLLDNB_00196	KCCMJC_01103	HCOCDN_00345
	Filamentous haemagglutinin FhaB/tRNA nuclease CdiA-like TPS domain-containing protein		Filamentous haemagglutinin FhaB/tRNA nuclease CdiA-like TPS domain-containing protein	8	8	1	301	6187				3407	4901	4713	PAGBNG_00497	EADAOE_03721	MJAKFC_00537	PIBFPJ_03492	MDFDNN_01114	BLLDNB_00197	KCCMJC_01104	HCOCDN_00344
	ABC transporter permease		ABC transporter permease	8	8	1	301	6196				623	1601	1478	PAGBNG_00506	EADAOE_03730	MJAKFC_00528	PIBFPJ_03501	MDFDNN_01124	BLLDNB_00206	KCCMJC_01113	HCOCDN_00335
	group_1057	MFS transporter	MFS transporter	8	8	1	301	6241				1214	1319	1305	PAGBNG_00546	EADAOE_01490	MJAKFC_00488	PIBFPJ_03541	MDFDNN_00295	BLLDNB_00247	KCCMJC_01153	HCOCDN_00295
	nudC		NAD(+) diphosphatase	8	8	1	301	6247				383	794	742	PAGBNG_00550	EADAOE_01494	MJAKFC_00484	PIBFPJ_03545	MDFDNN_00291	BLLDNB_00251	KCCMJC_01157	HCOCDN_00291
	group_1061	chitinase	chitinase	8	8	1	301	6278				131	1319	1170	PAGBNG_00578	EADAOE_01527	MJAKFC_00456	PIBFPJ_03578	MDFDNN_00258	BLLDNB_00286	KCCMJC_01185	HCOCDN_00252
	group_1062	flgN	Flagellar biosynthesis protein FlgN	8	8	1	301	6303				224	425	399	PAGBNG_00603	EADAOE_01553	MJAKFC_00429	PIBFPJ_03604	MDFDNN_05245	BLLDNB_00311	KCCMJC_01604	HCOCDN_00225
	flgM		flagellar biosynthesis anti-sigma factor FlgM	8	8	1	301	6304				260	512	291	PAGBNG_00604	EADAOE_01554	MJAKFC_00428	PIBFPJ_03605	MDFDNN_00216	BLLDNB_00312	KCCMJC_01603	HCOCDN_00224
	group_1064	flhB	Flagellar biosynthetic protein flhB	8	8	1	301	6330				425	1139	1049	PAGBNG_00625	EADAOE_01575	MJAKFC_01769	PIBFPJ_03626	MDFDNN_00190	BLLDNB_00333	KCCMJC_01582	HCOCDN_00203
	group_1066	Major facilitator superfamily (MFS) profile domain-containing protein	Major facilitator superfamily (MFS) profile domain-containing protein	8	8	1	301	6340				1193	1193	1193	PAGBNG_00633	EADAOE_01583	MJAKFC_01778	PIBFPJ_03634	MDFDNN_00183	BLLDNB_00341	KCCMJC_01574	HCOCDN_00195
	cysM		cysteine synthase CysM	8	8	1	301	6362				884	890	889	PAGBNG_00644	EADAOE_01594	MJAKFC_01791	PIBFPJ_03645	MDFDNN_00171	BLLDNB_00352	KCCMJC_01563	HCOCDN_00184
	lutB		LutB/LldF family L-lactate oxidation iron-sulfur protein	8	8	1	301	6365				1241	1457	1430	PAGBNG_00647	EADAOE_01597	MJAKFC_01794	PIBFPJ_03648	MDFDNN_00162	BLLDNB_00355	KCCMJC_01560	HCOCDN_00181
	pfkB		Carbohydrate kinase PfkB domain-containing protein	8	8	1	301	6372				329	962	882	PAGBNG_00654	EADAOE_01604	MJAKFC_01801	PIBFPJ_03655	MDFDNN_00155	BLLDNB_00362	KCCMJC_01553	HCOCDN_00174
	qslA		LasR-specific antiactivator QslA domain-containing protein	8	8	1	301	6389				146	455	416	PAGBNG_00671	EADAOE_01621	MJAKFC_01818	PIBFPJ_03672	MDFDNN_00137	BLLDNB_00379	KCCMJC_01536	HCOCDN_00157
	cytB		Hydrogenase	8	8	1	301	6401				656	662	656	PAGBNG_00683	EADAOE_01633	MJAKFC_01830	PIBFPJ_03684	MDFDNN_00125	BLLDNB_00391	KCCMJC_01524	HCOCDN_00145
	lipA		lipoyl synthase	8	8	1	301	6427				947	1061	964	PAGBNG_00708	EADAOE_01655	MJAKFC_03854	PIBFPJ_03709	MDFDNN_00100	BLLDNB_00930	KCCMJC_03627	HCOCDN_00117
	group_1076	N-acetyltransferase domain-containing protein	N-acetyltransferase domain-containing protein	8	8	1	301	6456				494	494	494	PAGBNG_00736	EADAOE_01685	MJAKFC_00402	PIBFPJ_03737	MDFDNN_00062	BLLDNB_00902	KCCMJC_02411	HCOCDN_00089
	group_1077	hrpE	Flagellar assembly protein FliH/Type III secretion system HrpE domain-containing protein	8	8	1	301	6465				872	872	872	PAGBNG_00745	EADAOE_01694	MJAKFC_00393	PIBFPJ_03746	MDFDNN_00053	BLLDNB_00893	KCCMJC_02402	HCOCDN_00080
	Permease		Permease	8	8	1	301	6494				779	956	933	PAGBNG_00773	EADAOE_01724	MJAKFC_00365	PIBFPJ_03774	MDFDNN_00026	BLLDNB_00864	KCCMJC_02374	HCOCDN_00052
	asnC		AsnC family transcriptional regulator	8	8	1	301	6497				479	587	533	PAGBNG_00776	EADAOE_01727	MJAKFC_00362	PIBFPJ_03777	MDFDNN_00023	BLLDNB_00861	KCCMJC_02371	HCOCDN_00049
	group_1080	Cysteine dioxygenase	Cysteine dioxygenase	8	8	1	301	6498				569	569	569	PAGBNG_00777	EADAOE_01728	MJAKFC_00361	PIBFPJ_03778	MDFDNN_00022	BLLDNB_00860	KCCMJC_02370	HCOCDN_00048
