																					
	query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
	HCOCDN_00014	243365.CV_3202	1.44e-100	295.0	2BDB8@1|root,326ZW@2|Bacteria,1RJHQ@1224|Proteobacteria,2VTN4@28216|Betaproteobacteria,2KRHI@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00058	243365.CV_3168	3.15e-148	422.0	2EIKC@1|root,33CBN@2|Bacteria,1NIFQ@1224|Proteobacteria,2VZVS@28216|Betaproteobacteria,2KSIC@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00070	243365.CV_3151	2.3e-249	699.0	28K98@1|root,2Z9WW@2|Bacteria,1MWKM@1224|Proteobacteria,2VHPH@28216|Betaproteobacteria	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00116	243365.CV_3098	8.22e-49	160.0	28XXU@1|root,2ZJTU@2|Bacteria,1PAQH@1224|Proteobacteria,2W52C@28216|Betaproteobacteria	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00138	243365.CV_3078	1.01e-51	163.0	2F89C@1|root,340NI@2|Bacteria,1NX95@1224|Proteobacteria,2W3V7@28216|Betaproteobacteria,2KT6Z@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00139	243365.CV_3077	1.53e-75	226.0	COG4091@1|root,COG4091@2|Bacteria,1QXS3@1224|Proteobacteria,2VSRJ@28216|Betaproteobacteria,2KRIZ@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	NAD_binding_3
	HCOCDN_00142	243365.CV_3521	2.54e-21	90.1	2DQAC@1|root,335KR@2|Bacteria,1NCXD@1224|Proteobacteria,2VWTR@28216|Betaproteobacteria,2KRWQ@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00157	243365.CV_3060	6.72e-59	186.0	2FIKT@1|root,34ACT@2|Bacteria,1P02A@1224|Proteobacteria,2W4FY@28216|Betaproteobacteria,2KTDM@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00199	243365.CV_3010	4.8e-90	266.0	COG3915@1|root,COG3915@2|Bacteria	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Oxidored_molyb
	HCOCDN_00240	243365.CV_2975	5.73e-59	189.0	2E6EI@1|root,33120@2|Bacteria,1NA6C@1224|Proteobacteria,2VW1M@28216|Betaproteobacteria,2KRZ2@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00305	243365.CV_2890	6.22e-164	462.0	2F01P@1|root,33T5H@2|Bacteria,1NRSE@1224|Proteobacteria,2VZVG@28216|Betaproteobacteria,2KSTM@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00322	243365.CV_1896	4.01e-78	233.0	2E5DY@1|root,3305W@2|Bacteria,1NAMS@1224|Proteobacteria,2VWYP@28216|Betaproteobacteria	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00354	243365.CV_1927	6.23e-74	228.0	2CR9N@1|root,32SNN@2|Bacteria,1N6AY@1224|Proteobacteria,2VTXG@28216|Betaproteobacteria,2KRN9@206351|Neisseriales	206351|Neisseriales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_00367	1123368.AUIS01000022_gene1043	8.21e-67	211.0	2AHZA@1|root,318CM@2|Bacteria,1RHH8@1224|Proteobacteria,1S827@1236|Gammaproteobacteria,2NBV8@225057|Acidithiobacillales	225057|Acidithiobacillales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
