																				
																				
	Organism Scientific Name	Codigo	Contig N50	Size	Reference	Geographic location	Colletion date	Isolation source	Sample type	Assembly Accession	Organism Qualifier	Taxonomy id	Assembly Name	Source	Annotation	Level	Submission Date	Gene Count	BioProject	BioSample
	Chromobacterium amazonense	DSM26508	219514	4010194	10.1007/s10482-015-0397-3	Brazil	2015	Rio Negro	Water	GCA_001855565.1	strain: DSM 26508	1382803	ASM185556v1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2016-10-27	3829	PRJNA342530	SAMN05761787
	Chromobacterium amazonense	ena-yuan	219514	4010194	10.22159/ajpcr.2016.v9s3.14847	not collected	not collected	not collected	not collected	GCA_963869205.1	isolate: ena-yuan-GCF_001855565.1	1382803	ena-yuan-GCF_001855565.1	GenBank		Contig	2024-03-03		PRJEB71012	SAMEA115017344
	Chromobacterium amazonense	SAM215	79260	4146297	10.2139/ssrn.5351789	Bangladesh	2025	Soil irrigated with pond water-Nedumangadu	Mud 	GCA_030907785.2	strain: SAM215	1382803	ASM3090778v2	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-03-29	3960	PRJNA954591	SAMN34152492
	Chromobacterium amazonense	CV1	79053	4282490		Bangladesh	2022	Sediment of China Clay Hill Lake	sediment	GCA_051918805.1	strain: CV1	1382803	ASM5191880v1	GenBank		Contig	2025-08-11		PRJNA1265884	SAMN48634526
	Chromobacterium amazonense	BASUSDA_45	78923	4295151	https://doi.org/10.1016/j.dib.2022.108853	Bangladesh	2020	Netrokona soil	Soil	GCA_016858235.1	strain: BASUSDA_45	1382803	ASM1685823v1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2021-02-09	4181	PRJNA686506	SAMN17119081
	Chromobacterium amazonense	CV8	221015	4382814		India	2022	Human skin infection	Human skin	GCA_039631045.1	strain: CV8	1382803	ASM3963104v1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2024-05-13	4321	PRJNA937067	SAMN33388129
	Chromobacterium amazonense	A56AF	170088	4566707	10.1155/2018/1062716	Brazil	2005	Rio Doce State Park, Lake Dom Helvecio	Water	GCA_002994485.1	strain: 56AF	1382803	ASM299448v1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-03-12	4462	PRJNA358091	SAMN06166395
	Chromobacterium amazonense	Cv1_a	10028	5192116		India	2022	Human skin infection	Human skin	GCA_028863495.1	strain: Cv1	1382803	ASM2886349v1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-02-26	5799	PRJNA937060	SAMN33388109
			122554,4286	4410824,143																
